SMILES,Source
CCOc1cc(C2SCC(=O)N2NC(=O)c2ccc(NC(=O)c3ccc(OC)cc3)cc2)ccc1O,Preprocessed
O=C(Nc1ccc(S(=O)(=O)N2CCCC2)cc1)c1cccc(COc2ccc(Br)cc2)c1,Preprocessed
C[C@@H]1CCCCN1S(=O)(=O)c1ccc(C(=O)Nc2cccc(I)c2)cc1,Preprocessed
Cc1cc(N([O])=O)nn1CC(=O)Nc1cc(OCC(F)(F)C(F)F)cc(Oc2ccccc2)c1,Preprocessed
Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)N3CCC(C)CC3)cc2)cc1I,Preprocessed
Cc1cc(C)nc(NS(=O)(=O)c2ccc(NC(=O)[C@@H]3[C@H](C=C(Cl)Cl)C3(C)C)cc2)n1,Preprocessed
Cc1cc(NS(=O)(=O)c2ccc(NC(=O)COc3cc(C)c(Cl)c(C)c3)cc2)nc(C)n1,Preprocessed
COc1ccc(C(=O)Nc2cc(C)c(O)c(S(=O)(=O)c3ccc(Cl)cc3)c2C(C)C)cc1,Preprocessed
COc1cc(S(=O)(=O)Nc2ccc(-c3csc(N=Cc4cccc(Oc5ccccc5)c4)n3)cc2)ccc1Cl,Preprocessed
COc1ccc(C(=O)Nc2ccc(S(=O)(=O)Nc3ccccc3C)cc2)cc1COc1ccccc1Br,Preprocessed
CCOC(=O)c1sc2nc(-c3ccccc3)cc(-c3ccccc3)c2c1NS(=O)(=O)c1ccc(N([O])=O)cc1,Preprocessed
Cc1ccc(C(=O)CC(=O)Nc2cc(N([O])=O)ccc2OCCOc2ccc(C(C)(C)CC(C)(C)C)cc2)cc1,Preprocessed
COc1ccc(-c2cc(C(=O)Nc3ccc(S(=O)(=O)Nc4cnc5ccccc5n4)cc3)c3ccccc3n2)cc1,Preprocessed
[O]N(=O)c1cc(C(F)(F)F)ccc1Oc1cccc(C(=O)Nc2ccccc2OC(F)(F)C(F)F)c1,Preprocessed
COc1cc(OC)cc(C(=O)Nc2ccc(N3CCC(C)CC3)c(C(=O)NCc3ccccc3)c2)c1,Preprocessed
O=S(=O)(Nc1nccs1)c1ccc(N=Cc2cn(Cc3ccccc3)c3ccccc23)cc1,Preprocessed
COc1ccccc1OCC(=O)Nc1nc(-c2cccs2)c(NC(=O)c2ccccc2)s1,Preprocessed
Cc1ccc(N(Cc2ccc(C(=O)Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)cc2)S(C)(=O)=O)cc1C,Preprocessed
COc1cccc(C(=O)Nc2cccc(OC(=O)c3ccc(Br)c(S(=O)(=O)N4CCCCC4)c3)c2)c1,Preprocessed
Cc1ccc(N(CC(=O)Nc2ccc(S(=O)(=O)N3CCCCC3)cc2)S(=O)(=O)c2ccc(F)cc2)cc1,Preprocessed
CC(=O)Nc1ccc(S(=O)(=O)N2CCCN(c3nc(C)nc(C)c3Cc3ccc(Cl)cc3)CC2)cc1,Preprocessed
O=C(c1ccc(Nc2ccnc3cc(C(F)(F)F)ccc23)cc1)N1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,Preprocessed
CCN(CC)C(=O)c1cc(NC(=O)c2cc(OC)cc(OC)c2)ccc1N1CCN(c2ccccc2OC)CC1,Preprocessed
O=C(Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1ccc(CN2CCN(c3ccccc3)CC2)cc1,Preprocessed
CC(=O)Nc1ccc(S(=O)(=O)N2CCN(c3nc(C)nc(C)c3Cc3ccc(Cl)cc3)CC2)cc1,Preprocessed
COc1ccc(C(O)=C2C(=O)C(=O)N(CCN3CCOCC3)[C@H]2c2cccc(Oc3ccccc3)c2)cc1F,Preprocessed
O=C(CC(=O)N(Cc1ccc2ccccc2c1)c1ccc(S(=O)(=O)N2CCCC2)cc1)c1ncccn1,Preprocessed
Cc1ccc(C(=O)Nc2cccc(OC(=O)c3cc(S(=O)(=O)N4CCCCC4)ccc3Cl)c2)cc1,Preprocessed
