Active_SMILES,Decoy_SMILES,Tanimoto_Similarity
CC(=O)N1CCC(c2nsc(Nc3ncc(Sc4ccccn4)cc3Oc3ccccc3)n2)CC1,O=C(COc1ccccc1)Nc1ccc(N2CCC(Cc3ccccc3)CC2)c(C(=O)N2CCCC2)c1,0.2199999999999999
CC(=O)N1CCC(c2nsc(Nc3ncc(Sc4ccccn4)cc3Oc3ccccc3)n2)CC1,CCOc1ccccc1NC(=O)Nc1ccc(N2CCc3ccccc3C2)c(C(=O)N2CCC(C)CC2)c1,0.2169811320754716
CC(=O)N1CCC(c2nsc(Nc3ncc(Sc4ccccn4)cc3Oc3ccccc3)n2)CC1,COc1ccccc1NC(=O)Nc1ccc(N2CCC(Cc3ccccc3)CC2)c(C(=O)N2CCCC2)c1,0.2135922330097087
CC(=O)N1CCC(c2nsc(Nc3ncc(Sc4ccccn4)cc3Oc3cccnc3)n2)CC1,CCOc1ccccc1NC(=O)Nc1ccc(N2CCc3ccccc3C2)c(C(=O)NCc2cccnc2)c1,0.2300884955752212
CC(=O)N1CCC(c2nsc(Nc3ncc(Sc4ccccn4)cc3Oc3cccnc3)n2)CC1,O=C(COc1ccccc1)Nc1ccc(N2CCc3ccccc3C2)c(C(=O)NCc2cccnc2)c1,0.2181818181818181
CC(=O)N1CCC(c2nsc(Nc3ncc(Sc4ccccn4)cc3Oc3cccnc3)n2)CC1,O=C(COc1ccccc1)Nc1ccc(N2CCC(Cc3ccccc3)CC2)c(C(=O)N2CCCC2)c1,0.1999999999999999
CC(=O)N1CCC(c2nsc(Nc3ncc(Sc4ccccn4)cc3Oc3cccnc3C)n2)CC1,CCOc1ccccc1NC(=O)Nc1ccc(N2CCc3ccccc3C2)c(C(=O)N2CCC(C)CC2)c1,0.2222222222222222
CC(=O)N1CCC(c2nsc(Nc3ncc(Sc4ccccn4)cc3Oc3cccnc3C)n2)CC1,Cc1ccccc1C(=O)N(CC(=O)Nc1nc(CC(=O)N2CCC(Cc3ccccc3)CC2)cs1)C1CC1,0.2181818181818181
CC(=O)N1CCC(c2nsc(Nc3ncc(Sc4ccccn4)cc3Oc3cccnc3C)n2)CC1,CCOc1ccccc1NC(=O)Nc1ccc(N2CCc3ccccc3C2)c(C(=O)NCc2cccnc2)c1,0.2105263157894736
CC(=O)N1CCC(c2nsc(Nc3ncc(Sc4ccccn4)cc3Oc3cnn(C)c3)n2)CC1,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12.CC(O)(C(=O)O)c1ccccc1,0.2068965517241379
